OBJECTID,Codigo,Provincia,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
19.0,19.0,Guadalajara,281.0,2016,Sociedad_Anonima,19.0,21341530340.3421,1082690.53386729,Importe_hipotecas,64087.0,21577.0,14566.0,48594.0,15604.0,39511.0,17324.0,16107.0,27520.0,14098.0,35054.0,13650.0
20.0,20.0,Gipuzkoa,1543.0,2016,Sociedad_Anonima,20.0,3756971201.4628897,476274.62841412204,Importe_hipotecas,101337.0,139070.0,76977.0,89340.0,103768.0,94713.0,65880.0,93997.0,97832.0,81533.0,92059.0,81379.0
21.0,21.0,Huelva,355.0,2016,Sociedad_Anonima,21.0,16153285348.281,835365.683870377,Importe_hipotecas,64421.0,29548.0,37712.0,32954.0,49017.0,37419.0,23499.0,20676.0,37573.0,23493.0,49462.0,36746.0
22.0,22.0,Huesca,376.0,2016,Sociedad_Anonima,22.0,28522889036.2312,1093487.92655755,Importe_hipotecas,16369.0,22735.0,16158.0,15816.0,18374.0,23111.0,19809.0,18466.0,14719.0,17874.0,18245.0,19099.0
23.0,23.0,Jaén,329.0,2016,Sociedad_Anonima,23.0,21780119684.2118,848387.076715209,Importe_hipotecas,20861.0,28943.0,28691.0,24932.0,28516.0,31030.0,38130.0,41963.0,38373.0,31651.0,33426.0,27337.0
24.0,24.0,León,664.0,2016,Sociedad_Anonima,24.0,28794563640.7422,1141075.69540809,Importe_hipotecas,27477.0,37468.0,19395.0,26314.0,29617.0,24179.0,15825.0,21894.0,22158.0,16686.0,24404.0,17962.0
25.0,25.0,Lleida,725.0,2016,Sociedad_Anonima,25.0,22090712889.8223,1149186.28726613,Importe_hipotecas,26283.0,31163.0,34513.0,29260.0,35173.0,25374.0,20601.0,22480.0,34567.0,21183.0,23150.0,22026.0
26.0,26.0,"Rioja, La",695.0,2016,Sociedad_Anonima,26.0,9220827614.74902,780721.292206845,Importe_hipotecas,19915.0,17572.0,16498.0,20764.0,53019.0,26966.0,10356.0,25132.0,26335.0,14410.0,23564.0,17671.0
27.0,27.0,Lugo,233.0,2016,Sociedad_Anonima,27.0,18447358220.0669,987981.96377954,Importe_hipotecas,10828.0,16993.0,10524.0,17438.0,16913.0,13228.0,13717.0,16228.0,9718.0,11044.0,10641.0,9908.0
28.0,28.0,Madrid,25839.0,2016,Sociedad_Anonima,28.0,13901299004.0898,997240.028194125,Importe_hipotecas,1129448.0,1283983.0,946045.0,1250540.0,1067573.0,970200.0,1037442.0,1121773.0,1243559.0,1055706.0,1133053.0,968107.0
29.0,29.0,Málaga,1739.0,2016,Sociedad_Anonima,29.0,11424758604.5872,780458.06915762,Importe_hipotecas,201185.0,199017.0,216241.0,244742.0,231760.0,286574.0,177004.0,161524.0,224656.0,197622.0,283241.0,205620.0
30.0,30.0,Murcia,1456.0,2016,Sociedad_Anonima,30.0,18250070913.3211,924896.652056495,Importe_hipotecas,87855.0,125940.0,65422.0,80878.0,141202.0,72348.0,77837.0,73551.0,78689.0,75042.0,93243.0,73348.0
31.0,31.0,Navarra,1260.0,2016,Sociedad_Anonima,31.0,19290430805.6213,1124671.5864665,Importe_hipotecas,54452.0,48129.0,73136.0,87593.0,83432.0,66046.0,77353.0,72775.0,52940.0,101029.0,59113.0,48028.0
32.0,32.0,Ourense,369.0,2016,Sociedad_Anonima,32.0,13264171450.1428,808496.1696782409,Importe_hipotecas,8551.0,8079.0,11105.0,8194.0,12269.0,9917.0,7830.0,11427.0,10727.0,14001.0,7151.0,9143.0
33.0,33.0,Asturias,1518.0,2016,Sociedad_Anonima,33.0,20019595252.5254,1234891.11505138,Importe_hipotecas,72625.0,80733.0,65075.0,97089.0,80886.0,56931.0,28007.0,49065.0,67176.0,65390.0,98211.0,57693.0
34.0,34.0,Palencia,201.0,2016,Sociedad_Anonima,34.0,14760770924.6606,970566.905500649,Importe_hipotecas,7501.0,6312.0,4776.0,13637.0,19151.0,7709.0,5480.0,9705.0,7678.0,4262.0,7721.0,5580.0
35.0,35.0,"Palmas, Las",1352.0,2016,Sociedad_Anonima,35.0,5250341373.94092,1059425.57153025,Importe_hipotecas,96434.0,85316.0,203010.0,87534.0,77374.0,82332.0,50449.0,83371.0,60101.0,81730.0,85430.0,121239.0
36.0,36.0,Pontevedra,1190.0,2016,Sociedad_Anonima,36.0,8246811088.907709,1089081.49719412,Importe_hipotecas,43203.0,50690.0,37456.0,56010.0,55106.0,47338.0,28451.0,36706.0,48257.0,45408.0,54956.0,67779.0
37.0,37.0,Salamanca,302.0,2016,Sociedad_Anonima,37.0,21576649161.0889,949093.601585701,Importe_hipotecas,37222.0,20885.0,25666.0,19109.0,31826.0,22735.0,11570.0,15081.0,22706.0,32680.0,19001.0,19180.0
38.0,38.0,Santa Cruz de Tenerife,1095.0,2016,Sociedad_Anonima,38.0,4370210415.83691,964270.952057753,Importe_hipotecas,70322.0,81819.0,81098.0,96454.0,70551.0,75158.0,57407.0,53501.0,96684.0,46498.0,84055.0,71043.0
39.0,39.0,Cantabria,755.0,2016,Sociedad_Anonima,39.0,10025234336.8828,1030723.27314431,Importe_hipotecas,32221.0,55987.0,40322.0,36196.0,47759.0,37365.0,39403.0,47645.0,50540.0,32980.0,34844.0,38702.0
40.0,40.0,Segovia,229.0,2016,Sociedad_Anonima,40.0,12228511132.8375,682490.780198299,Importe_hipotecas,11597.0,10226.0,10648.0,10801.0,12225.0,8330.0,13272.0,7205.0,10844.0,5150.0,11746.0,6399.0
41.0,41.0,Sevilla,1907.0,2016,Sociedad_Anonima,41.0,22302112098.7773,1151383.07981696,Importe_hipotecas,124069.0,143467.0,150245.0,103058.0,163577.0,148303.0,87343.0,138585.0,131975.0,165660.0,135996.0,124992.0
42.0,42.0,Soria,165.0,2016,Sociedad_Anonima,42.0,18457978154.5591,887721.466661127,Importe_hipotecas,1900.0,7315.0,5237.0,4816.0,14301.0,2555.0,3410.0,4855.0,9465.0,2321.0,5442.0,3914.0
43.0,43.0,Tarragona,1127.0,2016,Sociedad_Anonima,43.0,11107383509.1959,934594.116306717,Importe_hipotecas,77393.0,61900.0,83835.0,45389.0,95917.0,49721.0,79960.0,49983.0,75162.0,43316.0,51702.0,52281.0
44.0,44.0,Teruel,183.0,2016,Sociedad_Anonima,44.0,25764193799.5302,1167749.0880056003,Importe_hipotecas,6156.0,6918.0,6284.0,6317.0,6989.0,11800.0,2637.0,9266.0,2654.0,8053.0,16903.0,3604.0
45.0,45.0,Toledo,728.0,2016,Sociedad_Anonima,45.0,26065010226.1974,1233071.99926331,Importe_hipotecas,48739.0,35822.0,29197.0,35299.0,40870.0,60678.0,52173.0,52882.0,43220.0,37077.0,52795.0,41444.0
46.0,46.0,Valencia/Valéncia,2945.0,2016,Sociedad_Anonima,46.0,18110130397.9234,1006499.31881275,Importe_hipotecas,162202.0,165446.0,120562.0,127778.0,149947.0,178722.0,227750.0,165295.0,189728.0,135357.0,164220.0,110940.0
47.0,47.0,Valladolid,806.0,2016,Sociedad_Anonima,47.0,14531327306.3015,993224.077367262,Importe_hipotecas,38075.0,96415.0,37659.0,60006.0,45389.0,50221.0,40668.0,30521.0,41289.0,39814.0,27861.0,22754.0
48.0,48.0,Bizkaia,2679.0,2016,Sociedad_Anonima,48.0,4161383760.41016,618804.57009096,Importe_hipotecas,116125.0,193388.0,159208.0,272547.0,139601.0,160644.0,184334.0,152266.0,158147.0,102766.0,131084.0,115787.0
49.0,49.0,Zamora,167.0,2016,Sociedad_Anonima,49.0,18976873417.3408,1017874.53482692,Importe_hipotecas,7777.0,5726.0,5382.0,9098.0,7799.0,10250.0,7625.0,5098.0,7246.0,8609.0,4651.0,6182.0
50.0,50.0,Zaragoza,1878.0,2016,Sociedad_Anonima,50.0,30937790469.125,1582276.45562791,Importe_hipotecas,68103.0,88551.0,100650.0,75713.0,104998.0,106934.0,94994.0,93161.0,88430.0,89885.0,108674.0,69614.0
1.0,1.0,Araba/Álava,907.0,2015,Sociedad_Anonima,1.0,5558819816.938479,899065.384760544,Importe_hipotecas,30712.0,33470.0,29337.0,24546.0,31104.0,25872.0,34596.0,17944.0,32349.0,54056.0,21433.0,24121.0
2.0,2.0,Albacete,551.0,2015,Sociedad_Anonima,2.0,24628869196.6688,982714.9831766171,Importe_hipotecas,18424.0,29091.0,18438.0,14174.0,18325.0,23470.0,43273.0,26173.0,18134.0,14639.0,15208.0,20841.0
3.0,3.0,Alicante,1764.0,2015,Sociedad_Anonima,3.0,9507175453.60967,698396.737290055,Importe_hipotecas,112058.0,100515.0,117771.0,222485.0,108492.0,104436.0,133755.0,123139.0,178837.0,119244.0,121130.0,88317.0
4.0,4.0,Almería,654.0,2015,Sociedad_Anonima,4.0,13855293063.9255,764383.039721032,Importe_hipotecas,52909.0,51218.0,56570.0,61175.0,57489.0,57474.0,49800.0,77866.0,69311.0,70801.0,79374.0,40703.0
5.0,5.0,Ávila,143.0,2015,Sociedad_Anonima,5.0,13966290552.5479,825947.5261177691,Importe_hipotecas,6797.0,5276.0,10267.0,6133.0,9896.0,6435.0,6598.0,6169.0,7340.0,7992.0,4554.0,5683.0
6.0,6.0,Badajoz,707.0,2015,Sociedad_Anonima,6.0,35803975339.5203,1452266.34287763,Importe_hipotecas,32609.0,31715.0,33845.0,191296.0,41647.0,41447.0,46373.0,58420.0,44292.0,34615.0,36657.0,26632.0
7.0,7.0,"Balears, Illes",2523.0,2015,Sociedad_Anonima,7.0,8397658655.339479,1885856.05039272,Importe_hipotecas,179063.0,134386.0,241064.0,159383.0,132903.0,152738.0,254434.0,233618.0,223011.0,189283.0,138401.0,143094.0
8.0,8.0,Barcelona,16061.0,2015,Sociedad_Anonima,8.0,13892170189.5469,1078129.1918187,Importe_hipotecas,594189.0,487614.0,500886.0,434654.0,688239.0,355576.0,662355.0,499973.0,599024.0,467826.0,587507.0,440771.0
9.0,9.0,Burgos,705.0,2015,Sociedad_Anonima,9.0,26203492774.134,1530155.70044239,Importe_hipotecas,35378.0,20309.0,29152.0,16799.0,28030.0,24559.0,39398.0,26537.0,25254.0,41466.0,14395.0,13860.0
10.0,10.0,Cáceres,371.0,2015,Sociedad_Anonima,10.0,33620075321.1089,1242300.63638205,Importe_hipotecas,19040.0,14579.0,18716.0,16894.0,17878.0,15770.0,21105.0,18226.0,16860.0,15558.0,18756.0,11064.0
